      0.40 	 4.685 
      0.50 	 4.685 
      0.54 	 3.848 
      0.58 	 3.131 
      0.63 	 2.519 
      0.68 	 2.011 
      0.74 	 1.587 
      0.80 	 1.241 
      0.86 	 0.9603 
      0.93 	 0.7318 
      1.01 	 0.5537 
      1.09 	 0.4118 
      1.18 	 0.3033 
      1.28 	 0.2195 
      1.38 	 0.1562 
      1.49 	 0.1097 
      1.61 	 0.07544 
      1.75 	 0.05096 
      1.89 	 0.03383 
      2.04 	 0.02183 
      2.21 	 0.0138 
      2.39 	 0.008487 
      2.58 	 0.005083 
      2.79 	 0.002953 
      3.02 	 0.001653 
      3.27 	 0.0008971 
      3.53 	 0.0004678 
      3.82 	 0.0002344 
      4.13 	 0.0001117 
      4.47 	 5.006e-05 
      4.83 	 2.098e-05 
      5.22 	 8.232e-06 
      5.65 	 3.073e-06 
      6.11 	 1.07e-06 
      6.61 	 3.486e-07 
      7.14 	 9.65e-08 
      7.73 	 2.121e-08 
      8.36 	 4.25e-09 
      9.03 	 9.327e-10 
      9.77 	 1.778e-10 
     10.57 	 2.284e-11 
     11.43 	 1.268e-12 
     12.36 	 1.237e-14 
     13.36 	 5.648e-19 	  
