    12.587 	 0.005234  68.5 231 
    15.723 	 0.007966  64.4 199
    19.645 	 0.01206  61.3 174
    24.542 	 0.01797  57.4 147
    30.655 	 0.02703  54.2 129
    38.302 	 0.03447  51.7 116
    47.856 	 0.05743  48.5 103
    59.776 	 0.08226  45.8 91
    74.679 	 0.1184  42.8 80.1
    93.307 	 0.1664  40.4 72.5
   116.548 	 0.2282  37.9 65.3
   145.605 	 0.3134  35.4 58.4
   181.926 	 0.4227  33.6 54.1
   227.238 	 0.5664  31.2 48.7
   283.922 	 0.737  29.2 44.8
   354.710 	 0.9454  27.2 40.7
   443.058 	 1.199  25.5 37.6
   553.577 	 1.488  23.6 33.8
   691.664 	 1.823  22.2 32
   863.937 	 2.188  20.8 29.6
  1079.334 	 2.574  19.7 27.5
  1348.570 	 2.913  18.6 26.5
  1684.459 	 3.287  17.7 25.2
  2104.430 	 3.556  17.2 23
  2629.371 	 3.739  17.5 23.1
  3284.271 	 3.886  17.5 23.2
  4103.518 	 3.994  17.6 23.4
  5126.610 	 3.948  17.7 23.5
  6403.500 	 4.004  17.8 23.6
  8000.825 	 4.037  17.8 23.7
  9996.597 	 3.99  17.8 23.6
